,Unnamed: 0,Unnamed: 0.1,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,Unnamed: 0_x,Unnamed: 0.1_x,trade_date_x,open_x,high_x,low_x,close_x,pre_close_x,change_x,pct_chg_x,vol_x,amount_x,Unnamed: 0_y,Unnamed: 0.1_y,trade_date_y,open_y,high_y,low_y,close_y,pre_close_y,change_y,pct_chg_y,vol_y,amount_y
12,368.0,368.0,000892.SZ,20220316.0,2.95,3.21,2.92,3.21,2.92,0.29,9.9315,286762.8,88403.861,,,,,,,,,,,,,,,,,,,,,,,,
13,403.0,403.0,000935.SZ,20220316.0,19.88,21.56,19.14,21.56,19.6,1.96,10.0,115351.22,236014.495,,,,,,,,,,,,,,,,,,,,,,,,
14,409.0,409.0,000950.SZ,20220316.0,5.12,5.49,5.1,5.49,4.99,0.5,10.02,707021.56,372937.788,,,,,,,,,,,,,,,,,,,,,,,,
15,433.0,433.0,000978.SZ,20220316.0,5.7,6.12,5.69,6.12,5.56,0.56,10.0719,296937.54,178223.184,,,,,,,,,,,,,,,,,,,,,,,,
16,443.0,443.0,000993.SZ,20220316.0,10.32,11.03,10.14,11.03,10.03,1.0,9.9701,193690.22,204379.606,,,,,,,,,,,,,,,,,,,,,,,,
17,466.0,466.0,001227.SZ,20220316.0,5.31,5.92,5.31,5.92,5.38,0.54,10.0372,2998385.51,1722356.473,,,,,,,,,,,,,,,,,,,,,,,,
18,512.0,512.0,002033.SZ,20220316.0,6.06,6.52,6.06,6.52,5.93,0.59,9.9494,289480.14,183926.086,,,,,,,,,,,,,,,,,,,,,,,,
19,532.0,532.0,002053.SZ,20220316.0,14.8,15.98,13.42,15.98,14.53,1.45,9.9794,972756.57,1459916.437,,,,,,,,,,,,,,,,,,,,,,,,
20,538.0,538.0,002059.SZ,20220316.0,6.2,6.6,6.2,6.6,6.0,0.6,10.0,481487.0,309211.923,,,,,,,,,,,,,,,,,,,,,,,,
21,579.0,579.0,002103.SZ,20220316.0,5.57,5.92,5.49,5.92,5.38,0.54,10.0372,271333.6,157964.656,,,,,,,,,,,,,,,,,,,,,,,,
22,588.0,588.0,002112.SZ,20220316.0,9.12,9.74,9.0,9.74,8.85,0.89,10.0565,173494.89,163751.559,,,,,,,,,,,,,,,,,,,,,,,,
23,634.0,634.0,002159.SZ,20220316.0,9.79,10.51,9.63,10.51,9.55,0.96,10.0524,47950.0,48675.675,,,,,,,,,,,,,,,,,,,,,,,,
24,651.0,651.0,002176.SZ,20220316.0,22.5,24.13,22.24,24.13,21.94,2.19,9.9818,2254450.36,5299854.069,,,,,,,,,,,,,,,,,,,,,,,,
25,667.0,667.0,002192.SZ,20220316.0,104.03,111.09,103.08,111.09,100.99,10.1,10.001,122660.44,1316134.031,,,,,,,,,,,,,,,,,,,,,,,,
26,684.0,684.0,002209.SZ,20220316.0,6.83,7.48,6.83,7.48,6.8,0.68,10.0,71749.5,52792.669,,,,,,,,,,,,,,,,,,,,,,,,
27,719.0,719.0,002245.SZ,20220316.0,20.02,21.66,19.74,21.66,19.69,1.97,10.0051,618074.25,1279675.17,,,,,,,,,,,,,,,,,,,,,,,,
